,book,author,price
27,การิน ปริศนาคดีอาถรรพ์ คดีที่ 16 (Mg) กลอุบัติมิคสัญญี (บทแรก),อัยย์,132.00 บาท
28,การิน ปริศนาคดีอาถรรพ์ คดีที่ 16 กลอุบัติมิคสัญญี (LN),อัยย์,271.00 บาท
29,กาสักอังก์ฆาต,กิตติศักดิ์ คงคา,270.00 บาท
30,บิงโก เกมฆาตกร ตอนที่ 4 จุดกำเนิด,ปราปต์,285.00 บาท
31,ปีศาจ,เสนีย์ เสาวพงศ์,378.00 บาท
32,ธี่หยด...สิ้นเสียงครวญคลั่ง,กฤตานนท์,292.00 บาท
33,กัลป์วิบัติ TRY NOT TO LOVE EVERYTHING YOU DESTROY,อนิธรา,251.00 บาท
34,การิน ปริศนาคดีอาถรรพ์ คดีที่ 1 : คืนลอยกระทงสีเลือด (Mg),อัยย์,199.00 บาท
35,การิน ปริศนาคดีอาถรรพ์ คดีที่ 2 : ขบวนแห่ภูตป่าอาถรรพ์ (Mg),อัยย์,199.00 บาท
36,บิงโก เกมฆาตกร ตอนที่ 3 เกมกบฏ,ปราปต์,236.00 บาท
37,เล่าเรื่องสามก๊ก ฉบับ คนรุ่นใหม่,เปี่ยมศักดิ์ คุณากรประทีป,418.50 บาท
38,การิน ปริศนาคดีสยอง เรื่องเล่าของผีแบกศาลกับตำนานแม่หญิงคลั่งรัก 4 (LN),อัยย์,231.00 บาท
39,อมฤตาลัย,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),558.00 บาท
40,ธี่หยด...แว่วเสียงครวญคลั่ง,กฤตานนท์,316.00 บาท
41,แก้วฟ้าล้ง,มาลา คำจันทร์,288.00 บาท
42,บิงโก เกมฆาตกร ตอนที่ 2 ทีมสังหาร,ปราปต์,260.00 บาท
43,กุณฑลสวาท,พงศกร,416.00 บาท
44,กำไลมาศ,พงศกร,522.00 บาท
45,สร้อยพระศอ,พงศกร,352.00 บาท
46,เบื้องบรรพ์,พงศกร,198.00 บาท
47,ย้งยี้ สาวน้อยยอดนักสืบ ตอนคดีฆาตกรรมคำสาปมรณะ 2,แมวสีฟ้าจากอนาคต,240.00 บาท
48,เปิดตำนานเทพ อสุรกายและวีรบุรุษ ผ่านมหากาพย์ของโฮเมอร์,ชัยจักร ทวยุทธานนท์,220.00 บาท
49,เลื่อมลวง,พงศกร,396.00 บาท
50,โพงคำหอม,ทศพล,216.00 บาท
51,ธำมรงค์เลือด,พงศกร,400.00 บาท
52,ปลายฟ้า สาวสวยสามวิญญาณ,ร เรือในมหาสมุท,180.00 บาท
